vile	-3.18	0.61
tragic	-3.15	0.66
ugly	-3.10	0.49
traumatic	-3.08	0.68
stinging	-3.05	0.56
awful	-2.89	0.49
foul	-2.84	0.50
horrific	-2.83	0.69
fatal	-2.82	0.77
sick	-2.81	0.46
painful	-2.67	0.61
unnatural	-2.64	0.60
dire	-2.62	0.64
terrible	-2.61	0.69
minor	-2.59	0.79
cruel	-2.59	0.63
frightening	-2.59	0.52
unlucky	-2.58	0.54
hideous	-2.58	0.64
miserable	-2.57	0.47
mindless	-2.56	0.79
hungry	-2.55	0.70
insecure	-2.55	0.72
ominous	-2.53	0.62
terrifying	-2.47	0.70
unbearable	-2.45	0.57
mortal	-2.45	0.68
worst	-2.43	0.70
catastrophic	-2.42	0.74
weak	-2.40	0.73
lonely	-2.33	0.59
innocent	-2.29	0.63
needy	-2.22	0.75
humiliating	-2.19	0.68
selfish	-2.18	0.51
creepy	-2.17	0.52
greedy	-2.17	0.46
poisonous	-2.16	0.70
damned	-2.14	0.54
gross	-2.10	0.92
bizarre	-2.09	0.53
nasty	-2.09	0.77
brutal	-2.09	0.72
homeless	-2.07	0.87
ragged	-2.07	0.72
occasional	-2.07	0.70
accidental	-2.07	0.82
depressed	-2.02	1.17
filthy	-2.01	0.64
disastrous	-1.99	0.71
misguided	-1.98	0.73
strange	-1.96	0.57
ignorant	-1.94	0.46
harsh	-1.94	0.63
tired	-1.93	1.13
dreadful	-1.93	0.66
gruesome	-1.93	0.99
indifferent	-1.92	0.64
devastating	-1.87	0.44
dangerous	-1.86	0.55
crude	-1.85	0.76
sudden	-1.84	0.70
blind	-1.84	0.46
random	-1.84	0.64
drunk	-1.83	0.92
outrageous	-1.82	0.67
alarming	-1.82	0.62
vicious	-1.81	0.85
inevitable	-1.79	0.75
sinister	-1.79	0.61
impoverished	-1.79	1.15
rotten	-1.78	0.52
searing	-1.78	0.74
impatient	-1.78	1.26
unpredictable	-1.77	0.67
bloody	-1.76	0.33
shocking	-1.76	0.75
bored	-1.76	1.22
embarrassing	-1.76	0.57
stupid	-1.75	0.75
hostile	-1.75	0.60
weary	-1.74	1.16
anxious	-1.73	1.28
naive	-1.72	0.57
peculiar	-1.72	0.70
scary	-1.71	0.59
paranoid	-1.71	0.67
unfair	-1.71	0.46
primitive	-1.71	0.85
irresponsible	-1.70	0.49
unrelated	-1.70	0.63
mundane	-1.70	0.61
stray	-1.70	0.59
lingering	-1.69	0.73
aging	-1.69	0.78
irritating	-1.66	0.64
murderous	-1.66	0.82
crushing	-1.66	0.73
agitated	-1.65	1.34
depressing	-1.65	0.49
thirsty	-1.65	0.79
angry	-1.64	1.29
cranky	-1.64	0.71
unstable	-1.64	0.60
mad	-1.60	0.75
unemployed	-1.60	1.16
disabled	-1.60	1.03
rural	-1.59	1.20
terrorist	-1.59	0.94
corrupt	-1.59	0.98
jealous	-1.59	0.59
pathetic	-1.58	0.36
fiery	-1.57	0.80
flawed	-1.56	0.67
tense	-1.55	1.30
savage	-1.55	0.86
bitter	-1.55	0.73
fucking	-1.55	0.77
frightened	-1.55	1.26
shaky	-1.55	0.98
dizzy	-1.54	0.71
grainy	-1.54	0.77
restless	-1.54	0.92
stale	-1.53	0.73
immigrant	-1.53	1.18
racist	-1.52	0.62
unmistakable	-1.51	0.76
wretched	-1.51	0.53
utter	-1.50	0.69
feeble	-1.50	0.96
severe	-1.49	0.35
cynical	-1.48	0.77
criminal	-1.47	0.92
median	-1.47	1.02
inexplicable	-1.47	0.35
petty	-1.47	0.91
troubled	-1.47	1.14
ashamed	-1.47	1.14
unbelievable	-1.46	0.66
frustrating	-1.46	0.65
deadly	-1.45	0.32
graphic	-1.44	0.74
blunt	-1.44	0.78
elderly	-1.43	1.18
hopeless	-1.43	0.29
starving	-1.43	0.43
crazy	-1.42	0.86
affluent	-1.41	1.26
worthless	-1.41	0.32
whole	-1.40	0.78
worrying	-1.39	0.83
lazy	-1.38	0.41
goddamned	-1.38	0.84
disturbing	-1.36	0.72
absolute	-1.36	0.88
eerie	-1.36	0.25
lethal	-1.36	0.29
violent	-1.34	0.23
errant	-1.33	0.71
unusual	-1.32	0.74
clumsy	-1.32	0.77
irrelevant	-1.32	0.66
dumb	-1.32	0.80
different	-1.31	0.72
insane	-1.30	0.32
chaotic	-1.30	0.33
cunning	-1.29	0.95
alien	-1.28	0.72
scared	-1.28	0.89
bewildered	-1.26	0.96
sore	-1.26	0.23
fearful	-1.26	1.03
guilty	-1.26	0.77
bleeding	-1.25	0.18
foolish	-1.25	0.30
jared	-1.25	0.80
helpless	-1.24	0.35
ridiculous	-1.24	0.38
prolonged	-1.24	0.28
acute	-1.24	0.27
weird	-1.24	0.79
supernatural	-1.24	0.80
tantalizing	-1.23	0.75
nasal	-1.23	0.66
absurd	-1.23	0.28
aching	-1.22	0.35
fake	-1.21	0.80
everyday	-1.21	0.74
chronic	-1.20	0.31
bacterial	-1.20	0.21
dirty	-1.20	0.23
uncomfortable	-1.20	0.91
desperate	-1.19	0.52
useless	-1.19	0.25
intentional	-1.18	0.89
mere	-1.18	0.87
monstrous	-1.18	0.95
gigantic	-1.18	0.86
disappointed	-1.17	1.29
vocal	-1.17	0.68
furious	-1.16	0.68
wounded	-1.16	0.29
uncommon	-1.16	0.72
human	-1.16	1.11
uneasy	-1.16	1.01
annoying	-1.16	0.34
odd	-1.15	0.80
exasperated	-1.15	0.84
immortal	-1.15	0.88
stricken	-1.15	0.47
disgusted	-1.14	1.04
fellow	-1.14	1.05
gloved	-1.14	0.74
alleged	-1.14	0.21
strongest	-1.13	0.75
confusing	-1.13	0.29
pungent	-1.13	0.83
nameless	-1.13	0.15
impending	-1.12	0.31
wealthy	-1.12	1.09
troubling	-1.12	0.31
destructive	-1.12	0.21
nervous	-1.12	1.08
inconsistent	-1.11	0.70
drastic	-1.10	0.32
numb	-1.09	0.49
chilling	-1.09	0.29
unprepared	-1.09	0.22
dazed	-1.08	0.74
outraged	-1.08	0.82
drunken	-1.08	0.10
edgy	-1.07	0.55
annoyed	-1.07	1.08
extreme	-1.06	0.13
adverse	-1.05	0.31
serious	-1.05	0.30
pelvic	-1.04	0.23
evident	-1.04	0.90
ensuing	-1.04	0.21
powerful	-1.04	0.92
eternal	-1.03	0.99
throbbing	-1.03	0.17
lousy	-1.03	0.92
contradictory	-1.01	0.14
giddy	-1.01	0.53
grim	-1.01	0.24
bloated	-1.00	0.31
recreational	-0.99	1.03
pitiful	-0.99	0.34
masked	-0.99	0.22
irrational	-0.98	0.19
phony	-0.98	0.25
outright	-0.98	0.23
harmless	-0.98	0.16
arrogant	-0.97	0.22
goddamn	-0.97	0.54
bipolar	-0.97	0.16
ample	-0.97	0.98
persistent	-0.97	0.22
divine	-0.97	1.19
susceptible	-0.97	0.18
silly	-0.97	0.43
frantic	-0.96	0.47
bruised	-0.96	0.22
powerless	-0.94	0.19
toxic	-0.94	0.15
fanciful	-0.93	0.20
sad	-0.93	1.15
dependent	-0.93	0.24
infectious	-0.93	0.16
spinal	-0.93	0.23
unprecedented	-0.92	0.97
trivial	-0.92	0.23
correct	-0.91	0.82
sullen	-0.91	0.76
magical	-0.90	1.01
suspicious	-0.90	0.92
embarrassed	-0.90	1.06
rigorous	-0.89	0.91
frequent	-0.89	0.15
unsure	-0.88	0.94
harmful	-0.87	0.17
pointless	-0.87	0.22
nursing	-0.87	0.18
ill	-0.87	1.09
uncertain	-0.86	0.82
fuzzy	-0.86	0.80
unnecessary	-0.86	0.13
mystical	-0.86	0.25
reckless	-0.86	0.18
vulnerable	-0.86	0.43
tattered	-0.86	0.23
stranded	-0.85	0.22
boring	-0.85	0.40
bleak	-0.84	0.24
oppressive	-0.84	0.21
abrupt	-0.83	0.19
hazardous	-0.83	0.09
resistant	-0.83	0.15
afraid	-0.83	1.18
treacherous	-0.83	0.18
preoccupied	-0.82	0.91
risky	-0.82	0.27
deaf	-0.82	0.35
invisible	-0.82	0.26
fractured	-0.81	0.14
grieving	-0.81	0.79
wise	-0.80	0.74
unacceptable	-0.80	0.19
worldly 0.47  0.21
chemical	-0.79	0.14
sarcastic	-0.79	0.50
naked	-0.78	0.34
puzzled	-0.78	0.97
inappropriate	-0.78	0.17
hysterical	-0.77	0.51
respiratory	-0.77	0.23
sweaty	-0.77	0.28
cosmetic	-0.76	0.14
radioactive	-0.76	0.14
profound	-0.76	0.31
wicked	-0.76	1.12
raging	-0.76	0.24
psychic	-0.75	0.15
motionless	-0.74	0.31
unseen	-0.74	0.31
idle	-0.74	0.15
obsessive	-0.74	0.21
subsequent	-0.73	0.32
repetitive	-0.73	0.15
reassuring	-0.72	0.79
suicidal	-0.72	0.17
imminent	-0.72	0.27
prone	-0.71	0.23
heroic	-0.71	0.25
dubious	-0.71	0.34
breathtaking	-0.71	0.75
unreasonable	-0.71	0.90
futile	-0.70	0.11
swelling	-0.70	0.15
sensory	-0.70	0.21
joint	-0.70	0.13
spooky	-0.70	0.90
illicit	-0.69	0.15
worse	-0.69	1.05
armed	-0.69	0.23
illegal	-0.69	0.17
cardiovascular	-0.69	0.28
insignificant	-0.68	0.16
editorial	-0.68	0.17
creaking	-0.68	0.21
pervasive	-0.68	0.15
immediate	-0.68	0.27
surgical	-0.67	0.20
tedious	-0.67	0.33
manly	-0.67	0.73
awake	-0.67	0.70
burning	-0.66	0.27
lasting	-0.66	0.26
bare	-0.66	0.21
offensive	-0.66	0.14
crumpled	-0.66	0.17
juvenile	-0.65	0.17
makeshift	-0.65	0.20
akin	-0.65	0.15
young	-0.65	1.14
gaping	-0.65	0.15
crooked	-0.65	0.23
moody	-0.65	0.62
insistent	-0.65	0.23
sleepy	-0.65	0.74
awkward	-0.64	0.58
vivid	-0.64	0.33
unaware	-0.63	0.36
distorted	-0.63	0.19
menacing	-0.62	0.25
poorest	-0.62	1.42
howling	-0.61	0.14
hoarse	-0.61	0.43
triple	-0.61	0.24
urgent	-0.61	0.17
shattering	-0.61	0.28
rebellious	-0.61	0.39
ordinary	-0.61	0.28
excessive	-0.61	0.12
perpetual	-0.61	0.29
intense	-0.61	0.19
explosive	-0.60	0.24
aggressive	-0.60	0.13
southeastern	-0.60	0.14
careless	-0.60	0.20
ferocious	-0.60	0.16
unthinkable	-0.59	0.18
rampant	-0.59	0.20
maternal	-0.58	0.14
successive	-0.58	0.23
palpable	-0.58	0.14
rotting	-0.58	0.26
distant	-0.58	0.30
asleep	-0.57	0.56
grimy	-0.57	0.21
forbidding	-0.57	0.14
astonished	-0.57	0.85
serial	-0.56	0.18
ambiguous	-0.56	0.13
emotional	-0.56	0.17
dramatic	-0.56	0.36
questionable	-0.56	0.14
pediatric	-0.56	0.18
obscure	-0.56	0.14
ceremonial	-0.55	0.24
heightened	-0.55	0.14
childish	-0.55	0.31
costly	-0.55	0.25
brittle	-0.55	0.30
mysterious	-0.55	0.35
bankrupt	-0.54	0.12
meaningless	-0.54	0.19
pregnant	-0.54	0.42
hispanic	-0.54	0.63
mute	-0.54	0.26
ruthless	-0.53	0.24
mental	-0.53	0.10
amusing	-0.53	0.31
sticky	-0.53	0.29
temporary	-0.53	0.23
nazi	-0.53	0.14
inadequate	-0.53	0.15
isolated	-0.53	0.34
damaging	-0.53	0.14
overlapping	-0.53	0.15
parched	-0.53	0.19
hesitant	-0.52	0.56
familiar	-0.52	1.05
racial	-0.51	0.14
rhythmic	-0.51	0.28
dead	-0.51	0.37
greasy	-0.51	0.26
volatile	-0.51	0.24
tough	-0.51	0.83
negative	-0.51	0.24
varying	-0.50	0.19
submerged	-0.50	0.11
domestic	-0.50	0.15
skeptical	-0.50	0.68
dusty	-0.50	0.20
unclear	-0.50	0.21
rich	-0.49	1.10
midwestern	-0.49	0.25
dental	-0.49	0.14
unsuccessful	-0.49	0.11
appalled	-0.49	0.84
speechless	-0.49	0.69
widespread	-0.49	0.11
hardened	-0.49	0.16
virtual	-0.49	0.22
immune	-0.48	0.13
surprising	-0.48	0.40
conscious	-0.48	0.14
psychological	-0.48	0.14
unnoticed	-0.47	0.19
constant	-0.47	0.14
grizzly	-0.47	0.17
civil	-0.47	0.17
misleading	-0.47	0.18
urban	-0.47	0.52
unhealthy	-0.47	0.15
diplomatic	-0.47	0.18
dismal	-0.47	0.85
gradual	-0.47	0.17
nagging	-0.47	0.14
broken	-0.47	0.13
exaggerated	-0.47	0.19
needless	-0.46	0.20
solitary	-0.46	0.21
artificial	-0.46	0.13
stressful	-0.46	0.93
revolutionary	-0.46	0.20
problematic	-0.45	0.28
unexpected	-0.45	1.11
relentless	-0.45	0.12
capita	-0.45	0.31
similar	-0.45	0.22
nonexistent	-0.44	0.14
false	-0.44	0.17
distinct	-0.44	0.27
ironic	-0.44	0.24
biological	-0.44	0.15
eccentric	-0.43	0.18
undercover	-0.43	0.17
obsessed	-0.43	0.44
daily	-0.43	0.17
estimated	-0.43	0.30
demographic	-0.43	0.21
obsolete	-0.43	0.13
unconscious	-0.43	0.26
guiding	-0.43	0.17
lengthy	-0.43	0.29
obvious	-0.43	0.19
unknown	-0.42	0.18
fierce	-0.42	0.17
rude	-0.42	0.90
wary	-0.42	0.95
operational	-0.42	0.16
startling	-0.42	0.39
indigenous	-0.42	0.33
assorted	-0.42	0.19
airborne	-0.42	0.11
infinite	-0.42	0.24
lifeless	-0.41	0.20
reluctant	-0.41	0.65
audible	-0.41	0.24
charred	-0.41	0.17
distinctive	-0.40	0.32
oblivious	-0.40	0.46
pure	-0.40	0.19
cherished	-0.40	0.77
phantom	-0.40	0.08
liable	-0.40	0.24
common	-0.40	0.22
steamy	-0.40	0.34
accountable	-0.40	0.15
pained	-0.40	0.75
cherokee	-0.40	0.13
flimsy	-0.40	0.17
infamous	-0.39	0.13
blurry	-0.39	0.28
probable	-0.39	0.12
mating	-0.39	0.17
busy	-0.39	0.36
weaker	-0.39	0.45
permanent	-0.39	0.21
defensive	-0.39	0.16
genetic	-0.39	0.14
aware	-0.38	0.65
internal	-0.38	0.13
darkest	-0.38	0.17
african	-0.38	0.41
plain	-0.38	0.18
thriving	-0.37	0.31
complicated	-0.37	0.34
volcanic	-0.37	0.18
iraqi	-0.37	0.14
involved	-0.37	0.29
longest	-0.37	0.30
rough	-0.36	0.23
uneven	-0.36	0.14
affirmative	-0.36	0.12
industrialized	-0.36	0.32
present	-0.36	0.20
concerned	-0.36	1.35
newborn	-0.36	0.26
universal	-0.36	0.15
prevalent	-0.36	0.10
introductory	-0.36	0.13
corporate	-0.35	0.16
cardboard	-0.35	0.20
blackened	-0.35	0.16
sour	-0.35	0.37
independent	-0.35	0.13
stark	-0.35	0.17
shrill	-0.35	0.19
burnt	-0.35	0.28
federal	-0.34	0.15
abnormal	-0.34	0.11
curious	-0.34	0.76
unspoken	-0.34	0.12
interstate	-0.34	0.08
verbal	-0.34	0.11
premature	-0.34	0.16
victorious	-0.34	0.22
irregular	-0.34	0.19
microscopic	-0.34	0.19
notorious	-0.34	0.12
medical	-0.34	0.07
turbulent	-0.34	0.16
territorial	-0.33	0.07
bodily	-0.33	0.16
residential	-0.33	0.29
progressive	-0.33	0.12
soggy	-0.33	0.15
total	-0.33	0.31
financial	-0.33	0.16
pending	-0.33	0.12
explicit	-0.33	0.20
covert	-0.33	0.17
industrial	-0.33	0.18
amused	-0.33	0.95
soviet	-0.33	0.11
frayed	-0.32	0.18
subjective	-0.32	0.16
identical	-0.32	0.11
ecological	-0.32	0.20
devoid	-0.32	0.17
blinding	-0.32	0.13
reproductive	-0.32	0.16
partisan	-0.32	0.13
molecular	-0.32	0.12
corresponding	-0.31	0.15
piercing	-0.31	0.21
segregated	-0.31	0.32
lame	-0.31	1.02
unused	-0.31	0.16
feral	-0.31	0.22
enduring	-0.31	0.16
integral	-0.31	0.16
judicial	-0.31	0.19
external	-0.31	0.08
lateral	-0.30	0.18
vacant	-0.30	0.32
governing	-0.30	0.19
certain	-0.30	0.29
multiple	-0.30	0.20
civilian	-0.30	0.18
brooding	-0.30	0.49
horizontal	-0.30	0.15
eastern	-0.30	0.35
behavioral	-0.30	0.07
old	-0.30	0.24
alternate	-0.30	0.14
silent	-0.30	0.32
governmental	-0.30	0.16
swollen	-0.29	0.26
unfinished	-0.29	0.19
spiritual	-0.29	0.34
lesbian	-0.29	0.24
gloomy	-0.29	0.24
rapid	-0.29	0.17
initial	-0.29	0.30
developmental	-0.29	0.05
stubborn	-0.29	0.30
islamic	-0.29	0.28
compressed	-0.29	0.11
excited	-0.29	1.25
unwanted	-0.29	0.13
commonplace	-0.29	0.25
gay	-0.29	0.26
blank	-0.29	0.26
accompanying	-0.28	0.15
concrete	-0.28	0.20
insufficient	-0.28	0.18
warped	-0.28	0.15
atomic	-0.28	0.15
quarterly	-0.28	0.27
frontal	-0.28	0.11
collective	-0.28	0.10
intriguing	-0.28	0.40
communist	-0.28	0.16
apparent	-0.28	0.15
capitalist	-0.27	0.10
physical	-0.27	0.14
faint	-0.27	0.36
anonymous	-0.27	0.14
recent	-0.27	0.17
multinational	-0.27	0.13
slippery	-0.27	0.18
cubic	-0.26	0.11
ethnic	-0.26	0.21
potent	-0.26	0.18
cosmic	-0.26	0.23
sharp	-0.26	0.19
defiant	-0.26	0.59
intensive	-0.26	0.12
rare	-0.26	0.31
social	-0.26	0.16
environmental	-0.26	0.18
dented	-0.26	0.22
ole	-0.26	0.30
neural	-0.26	0.10
rival	-0.26	0.16
pharmaceutical	-0.25	0.10
booming	-0.25	0.22
pakistani	-0.25	0.24
inflated	-0.25	0.16
various	-0.25	0.20
allergic	-0.25	0.13
mandatory	-0.25	0.08
psychiatric	-0.25	0.16
legal	-0.25	0.16
gravitational	-0.24	0.13
inner	-0.24	0.18
managing	-0.24	0.10
muddy	-0.24	0.22
inherent	-0.24	0.20
ballistic	-0.24	0.11
linguistic	-0.24	0.10
oral	-0.24	0.08
nuclear	-0.24	0.15
unofficial	-0.24	0.23
physiological	-0.24	0.09
upstate	-0.24	0.34
arab	-0.24	0.30
technological	-0.23	0.07
vietnamese	-0.23	0.28
metropolitan	-0.23	0.29
limp	-0.23	0.26
statistical	-0.23	0.17
barbed	-0.23	0.15
breathless	-0.23	0.50
underlying	-0.23	0.14
sexual	-0.23	0.10
jagged	-0.23	0.17
limited	-0.23	1.06
endangered	-0.22	0.09
diagnostic	-0.22	0.13
native	-0.22	0.29
preformatted	-0.22	0.13
indonesian	-0.22	0.15
military	-0.22	0.11
lifelong	-0.22	0.12
evolutionary	-0.22	0.13
flipping	-0.21	0.15
tidal	-0.21	0.10
predictable	-0.21	0.16
literal	-0.21	0.22
prevailing	-0.21	0.14
nonprofit	-0.21	0.16
darkening	-0.21	0.14
respective	-0.21	0.18
remote	-0.21	0.35
brief	-0.21	0.19
raucous	-0.21	0.23
mystic	-0.20	0.19
local	-0.20	0.14
bureaucratic	-0.20	0.13
overwhelming	-0.20	0.29
toughest	-0.20	0.36
watchful	-0.20	0.36
static	-0.20	0.16
genital	-0.20	0.15
southwestern	-0.20	0.22
challenging	-0.20	0.34
dim	-0.20	0.14
louder	-0.20	0.37
lowest	-0.20	0.29
electoral	-0.19	0.16
humanitarian	-0.19	0.14
inc	-0.19	0.11
moral	-0.19	0.26
maritime	-0.19	0.11
dull	-0.19	0.20
shadowy	-0.19	0.10
intimidating	-0.19	0.22
unmanned	-0.19	0.11
smug	-0.19	0.51
korean	-0.19	0.16
sloppy	-0.18	0.32
little	-0.18	1.06
darkened	-0.18	0.11
major	-0.18	0.29
sentimental	-0.18	0.27
infrared	-0.18	0.09
socialist	-0.18	0.18
entrenched	-0.18	0.10
founding	-0.18	0.14
tribal	-0.18	0.26
separate	-0.18	0.17
fictional	-0.18	0.21
mainstream	-0.18	0.09
allied	-0.17	0.07
additional	-0.17	0.19
spanish	-0.17	0.24
mocking	-0.17	0.23
institutional	-0.17	0.13
international	-0.17	0.11
new	-0.17	0.15
tabloid	-0.17	0.14
surprised	-0.17	0.95
naval	-0.16	0.15
constitutional	-0.16	0.14
cognitive	-0.16	0.11
geological	-0.16	0.17
municipal	-0.16	0.15
numerous	-0.16	0.22
societal	-0.16	0.13
strategic	-0.16	0.10
daunting	-0.16	0.23
dashing	-0.16	0.16
tactical	-0.16	0.07
residual	-0.16	0.13
continuous	-0.16	0.14
inferior	-0.16	0.15
temporal	-0.16	0.13
fledgling	-0.16	0.14
conspicuous	-0.16	0.20
manifest	-0.16	0.13
astonishing	-0.16	0.39
exciting	-0.16	0.44
diverse	-0.16	0.25
lone	-0.15	0.19
regional	-0.15	0.11
ailing	-0.15	0.19
rhetorical	-0.15	0.17
general	-0.15	0.11
definite	-0.15	0.23
administrative	-0.15	0.13
ubiquitous	-0.15	0.22
extravagant	-0.15	0.15
protective	-0.15	0.16
alcoholic	-0.15	0.27
gritty	-0.15	0.17
implicit	-0.15	0.12
muffled	-0.15	0.35
damn	-0.15	1.09
marine	-0.15	0.22
advancing	-0.15	0.16
actual	-0.15	0.15
empirical	-0.14	0.11
clinical	-0.14	0.06
experimental	-0.14	0.11
eventual	-0.14	0.26
political	-0.14	0.11
facial	-0.14	0.23
forensic	-0.14	0.13
monthly	-0.14	0.22
crowded	-0.14	0.19
onstage	-0.14	0.09
past	-0.14	0.17
captive	-0.14	0.16
afghan	-0.14	0.14
difficult	-0.14	0.37
declining	-0.13	0.20
varied	-0.13	0.18
plausible	-0.13	0.19
rigid	-0.13	0.37
potential	-0.13	0.33
spatial	-0.13	0.08
hairy	-0.13	0.35
nationalist	-0.13	0.14
mexican	-0.13	0.28
latin	-0.13	0.27
legislative	-0.13	0.09
unwilling	-0.13	0.31
uncanny	-0.13	0.36
ultimate	-0.12	0.37
deepest	-0.12	0.17
logical	-0.12	0.18
northwestern	-0.12	0.20
oily	-0.12	0.27
agricultural	-0.12	0.19
minimal	-0.12	0.24
automated	-0.12	0.12
barefoot	-0.12	0.20
current	-0.12	0.11
congressional	-0.12	0.14
innate	-0.12	0.27
global	-0.12	0.13
murky	-0.12	0.19
fluorescent	-0.12	0.13
poignant	-0.12	0.26
occupational	-0.12	0.12
acceptable	-0.12	0.18
rubber	-0.12	0.17
civic	-0.11	0.18
senior	-0.11	0.10
armored	-0.11	0.13
battered	-0.11	0.20
individual	-0.11	0.20
southern	-0.11	0.35
geographic	-0.11	0.12
investigative	-0.11	0.22
statewide	-0.11	0.22
hind	-0.11	0.17
ideological	-0.11	0.10
visual	-0.11	0.09
hazy	-0.11	0.15
cultural	-0.11	0.13
cautious	-0.11	0.46
noticeable	-0.10	0.17
manned	-0.10	0.07
ongoing	-0.10	0.14
lunar	-0.10	0.11
visible	-0.10	0.09
operative	-0.10	0.13
specific	-0.10	0.25
intuitive	-0.10	0.21
embryonic	-0.09	0.18
staggering	-0.09	0.29
legitimate	-0.09	0.24
central	-0.09	0.17
marginal	-0.09	0.26
economic	-0.09	0.14
grazing	-0.09	0.16
ethical	-0.09	0.15
functional	-0.09	0.08
raw	-0.09	0.14
imperial	-0.09	0.27
rocky	-0.09	0.11
abstract	-0.09	0.13
ambitious	-0.09	0.19
ottoman	-0.09	0.18
stony	-0.08	0.18
probing	-0.08	0.20
geographical	-0.08	0.11
regulatory	-0.08	0.09
deserted	-0.08	0.18
northern	-0.08	0.21
canine	-0.08	0.11
retrospective	-0.08	0.15
smartest	-0.08	0.26
postal	-0.08	0.11
mechanical	-0.08	0.18
imaginary	-0.08	0.15
significant	-0.08	0.29
hollow	-0.07	0.17
rusted	-0.07	0.08
feminist	-0.07	0.13
muted	-0.07	0.25
earnest	-0.07	0.26
burgeoning	-0.07	0.11
prosperous	-0.07	0.49
cellular	-0.07	0.14
monetary	-0.06	0.16
scientific	-0.06	0.09
interpretive	-0.06	0.14
official	-0.06	0.10
sloping	-0.06	0.14
chipped	-0.06	0.14
wild	-0.06	0.16
organizational	-0.06	0.14
peripheral	-0.06	0.23
existing	-0.06	0.11
dwindling	-0.06	0.13
continental	-0.05	0.09
descriptive	-0.05	0.09
symbolic	-0.05	0.08
digital	-0.05	0.12
dual	-0.05	0.20
largest	-0.05	0.17
weekly	-0.05	0.13
fundamental	-0.05	0.24
indian	-0.05	0.20
giant	-0.05	0.23
foreign	-0.05	0.13
chinese	-0.05	0.20
american	-0.05	0.17
preventive	-0.05	0.08
wrong	-0.05	1.08
audio	-0.04	0.09
funny	-0.04	0.94
incapable	-0.04	0.22
certified	-0.04	0.11
asian	-0.04	0.26
centennial	-0.04	0.16
uniformed	-0.04	0.12
special	-0.04	0.33
substantial	-0.04	0.32
downtown	-0.04	0.20
particular	-0.03	0.22
interim	-0.03	0.20
clandestine	-0.03	0.09
nearest	-0.03	0.12
advisory	-0.03	0.09
freezing	-0.03	0.32
provocative	-0.03	0.16
muslim	-0.03	0.26
postwar	-0.03	0.10
elementary	-0.03	0.08
radical	-0.03	0.15
disappointing	-0.03	0.79
cuban	-0.03	0.14
hushed	-0.03	0.37
palestinian	-0.02	0.20
cramped	-0.02	0.21
wholesale	-0.02	0.13
tangible	-0.02	0.18
richest	-0.02	0.47
incoming	-0.02	0.09
commercial	-0.02	0.18
wry	-0.02	0.33
educational	-0.02	0.11
offshore	-0.01	0.15
revolving	-0.01	0.17
electric	-0.01	0.14
prudent	-0.01	0.19
previous	-0.01	0.16
succeeding	-0.01	0.16
european	-0.01	0.18
thermal	-0.01	0.06
iranian	-0.01	0.14
militant	-0.01	0.22
